	DCZTrt_A_1	DCZTrt_A_2	DCZTrt_A_3	DCZctrl_A_1	DCZctrl_A_2	DCZctrl_A_3	DCZctrl_A_4	DCZTrt_N_1	DCZTrt_N_2	DCZTrt_N_3	DCZctrl_N_1	DCZctrl_N_2	DCZctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000121056	14	0	1	4	6	6	4	10	3	5	2	2	16	5	0	8	11	10	8
ENSMUSG00000121057	38	2	15	17	18	14	8	10	3	10	5	14	12	2	13	14	4	12	6
ENSMUSG00000121058	3	0	6	13	12	1	3	12	2	5	4	6	8	10	9	10	5	3	6
ENSMUSG00000121059	7	0	0	4	0	1	4	0	0	2	0	0	3	7	9	0	0	0	3
ENSMUSG00000121060	0	0	0	5	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0
ENSMUSG00000121061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121063	16	5	23	17	41	10	0	3	12	17	13	14	32	5	7	16	0	19	37
ENSMUSG00000121064	0	0	1	1	2	0	0	2	0	0	1	0	5	0	0	5	0	4.026	1
ENSMUSG00000121065	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000121066	17.426	0	6.719	7.835	2.879	7.243	0	9.585	4.538	4.512	9.192	9.569	4.812	5.364	6.715	12.832	0	0	7.884
ENSMUSG00000121067	0	0	1	0	7	1	0	1	2	1	1	0	0	1	1	1	0	0	1
ENSMUSG00000121068	0	0	2.519	1.403	10.329	0	0	0	0	0	2.969	3.602	0	0	0	5.53	0	6.866	9.536
ENSMUSG00000121069	163.423	227.162	243.797	273.33	281.733	227.543	101.106	225.188	127.522	204.055	208.266	230.344	223.726	264.511	208.509	186.135	119.281	199.417	195.662
ENSMUSG00000121070	1	6	5.035	4.408	1	1	0	2	1	1.051	2	0	8	0	0	0	0	3	1
ENSMUSG00000121071	8	0	10	3	12	0	0	3	1	4	4	3	14	2	7	4	9	13	6
ENSMUSG00000121072	15	2	5.044	10	2	41	0	2	6	4	2	0	35	3	22	0	2	29	2
ENSMUSG00000121073	11	3	13	34	29	16	11	23	13	17	19	15	26	10	4	21	6	19	19
ENSMUSG00000121074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121075	0	0	2	0	11.826	4	0	1	0	3	0	0	2	0	0	0	1	4	0
ENSMUSG00000121076	6	6	0	8	1	4	2	11	6	6	13	5	5	8	2	8	3	6	6
ENSMUSG00000121077	18.696	36.389	17.124	6.941	0	30.116	13.057	22.797	22.166	28.092	20.246	27.338	25.421	9.663	8.947	26.117	5.071	23.447	23.238
ENSMUSG00000121078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121079	13	0	3	16	30	2	0	0	0	5	2	0	0	17	0	2	0	2	0
ENSMUSG00000121080	7	4	21	17	21	19	10	7	5	10	9	6	9	10	16	5	6	4	5
ENSMUSG00000121081	14	32.867	40.57	44.973	19.37	36.543	24.555	57.096	11.746	29.941	34.785	29.593	30.662	19.43	31.33	39.478	14.39	23.323	47.289
ENSMUSG00000121082	1	7	12	13	12.194	6	0	4	0	4	2.01	9.043	5.041	8	5.307	11.358	1.007	0	7.066
ENSMUSG00000121083	4	2	21	3	7.723	13	1	6	9	5	14	15	73	6	0	3	0	59	16
ENSMUSG00000121084	32	4	35	16	3	31	4	58	14	47	37	24	53	13	18	61	20	41	52
ENSMUSG00000121085	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121086	0	0	0	0	3.111	7.796	2.382	8.501	0	0	0	7.671	0	0	0	0	0	0	0
ENSMUSG00000121087	0	0	0	0	0	0	0	1.808	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121088	8	0	9	1	0	3	1	0	1	4	0	1	2	6	3	5	0	2	1
ENSMUSG00000121089	0	0	3	0	2	0	0	4	1	0	2	4	0	0	3	0	5	1	0
ENSMUSG00000121090	6	13	13	7	3	18	3	7	7	5	11	11	3	6	12	8	7	6	11
ENSMUSG00000121091	0	0	2	3	5	6	1	5	3	1	3	6	1	10	8	1	3	2	1
ENSMUSG00000121092	3	4	6	2	6	6	0	10	1	9	2	5	2	3	3	6	5	2	5
ENSMUSG00000121093	30.806	4.205	1.006	6.334	7.333	5.279	1	6.04	9.241	5.294	3.034	0	13.133	4.071	0	0	1.015	8.238	4.203
ENSMUSG00000121094	0	14	9	0	7	5	1	10	8	7	13	18	19	3	10	17	6	8	4
ENSMUSG00000121095	19	13	27	36	39	15	11	34	6	19	33	16	34	32	11	20	14	22	40
ENSMUSG00000121096	13	23	11	21	41	15	25	13	1	7	12	10	9	16	5	15	10	5	16
ENSMUSG00000121097	0	0	4	1	4.448	1.736	0	2	2	1	3	2	0	0	1	5	0	0	1
ENSMUSG00000121098	0	0	0	0	0	0	0	2	5	5	1	1	7	1	0	1	0	3	4
ENSMUSG00000121099	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
ENSMUSG00000121100	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000121101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121102	4	3	9	10	13	7	0	8	0	4	9	9	4	7	8	14	5	1	8
ENSMUSG00000121103	57	24	55	39	45	54	32	66	21	50	56.001	49	66	32	41	48	28	59	87
ENSMUSG00000121104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121106	17	2	14	15	16	8	2	16	10	4	7	6	4	27	4	15	7	0	7
ENSMUSG00000121107	41	5	41	57.751	69	18	15	32	5	27	46.553	40	24	39	5	45	14	1	16
ENSMUSG00000121108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121109	5	0	5	0	0	2	0	11	2	4	1	5	19	0	0	3	3	12	13
ENSMUSG00000121110	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000121111	0	0	3	4	2	1	0	2	1	1	4	2	1	2	0	1	0	5	3
ENSMUSG00000121112	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0
ENSMUSG00000121113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000121114	1	0	2	7	3	2	0	3	13	5	2	9	12	1	0	10	0	7	2
ENSMUSG00000121115	49.169	29	43	32	41	45	12	67	35	39	29	46	130	18	16	31	12	106	67
ENSMUSG00000121116	9	1	11	4.938	0	6	3	9	4	4.793	2.225	0	3.928	5	2	5.557	4	3.078	0
ENSMUSG00000121117	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121118	0	1	0	0	2	0	0	4	2	1	1	0	2	1	1	0	0	0	3
ENSMUSG00000121119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121121	1	0	1	1	3	0	0	2	0	0	2	1	3	2	0	1	0	1	4
ENSMUSG00000121122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121123	0	0	0	0	0	0	0	0	0	0	0	0	1.106	0	0	0	1.099	0	0
ENSMUSG00000121124	4	21	14	8	7	17	4	21	7	11	10	12	14	7	9	11	8	13	17
ENSMUSG00000121125	0	0	0	0	0	0	0	0	0	1	0	1	14	0	1	3	0	12	2
ENSMUSG00000121126	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	1	0
ENSMUSG00000121127	1.073	2.547	7.695	3.654	5.819	3.925	0	3.733	0	1.07	4.401	6.294	5.876	1.025	2.325	3.487	2.561	2.671	4.594
ENSMUSG00000121128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121129	49.047	48.866	46.535	20.494	86.684	61.749	16	39.341	14	36	11.924	44.844	20.128	39.972	26.172	16.432	8.682	5	13
ENSMUSG00000121130	6	2	24.989	5	6.642	6	11	32	6	23	30	17	22.995	8	11	15	18	13	25.946
ENSMUSG00000121131	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121132	0	1	3	7	0	0	3	7	0	0	1	0	0	0	0	0	0	1	1
ENSMUSG00000121133	0	0	0	0	0	0	0	0	0	0	0	1.046	9	0	0	0	0	3	0
ENSMUSG00000121134	32	44	43	30	51	54	23	43	19	33	41	45	31	39	34	41	33	41	40
ENSMUSG00000121135	19	58	48	38	45	27	7	35	29	24	28	34	17	9	22	57	19	17	22
ENSMUSG00000121136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121137	98.2	153.013	164.338	160.805	287.206	169.599	64.061	149.712	67.588	129.085	150.529	149.802	150.539	154.525	106.241	144.736	78.153	133.056	127.602
ENSMUSG00000121138	0	1	11	1	0	12	2	8	4	7	16	8	6	0	2	4	2	14	4
ENSMUSG00000121139	3	3	3	4	2	5	2	1	0	1	4	2	2	0	2	5	1	1	1
ENSMUSG00000121140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121141	62	96	103	82	158	105	28	111.174	60	62	90	73	175	70	51	110.406	40	205	124
ENSMUSG00000121142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121144	2	0	0	16	12	0	0	2	2	1	0	0	19	7	0	0	0	24	8
ENSMUSG00000121145	5	0	1	0	0	0	0	0	0	3	0	2	0	1	5	0	1	0	0
ENSMUSG00000121146	0	0	2	0	1	0	0	1	1	0	0	0	2	0	2	0	0	0	0
ENSMUSG00000121147	1	0	0	6	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0
ENSMUSG00000121148	0	0	0	2	1	0	1	0	0	0	0	1	0	0	2	6	0	0	1
ENSMUSG00000121149	0	0	4	4.23	0	11.148	1	0	36	12.69	6	4	91.947	0	3	6	2	76.441	22.796
ENSMUSG00000121150	1	0	6	0	11	1	3	6	6	5	3	3	115.399	3	3	2	2	61	19
ENSMUSG00000121151	18.31	6	5.014	16.713	24	8	5	1	0	6	0	5	2.855	24.078	0	0	4	3	0
ENSMUSG00000121152	2	1	2	1	2	1	1	0	2	2	1	0	0	1	3	0	0	1	0
ENSMUSG00000121153	62	2	33	63	245	17	6	3	1	19	9	8	10	87	4	24	6	15	2
ENSMUSG00000121154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121155	0	0	0	1	0	1	0	0	0	1	1	3	0	0	0	0	0	1	1
ENSMUSG00000121156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121157	0	0	1	0	0	0	0	0	3	0	0	0	27	0	0	0	0	17	5
ENSMUSG00000121158	0	0	3	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000121159	2	30	5	5	10	6	0	11	10	6	5	11	2	3	0	7	4	4	11
ENSMUSG00000121160	0	4	10	1	0	1	0	9	2	2	4	4	0	0	0	2	2	2	3
ENSMUSG00000121161	5.678	0	0	11.22	23.566	29	0	0	0	2.377	0	0	1	15.728	5	0	0	0	1
ENSMUSG00000121162	2	0	0	3	3	9	0	0	0	0	0	0	0	4	0	0	0	0	0
ENSMUSG00000121163	0	0	0	1	4	0	0	0	4	1	3	1	7	0	0	0	0	0	3
ENSMUSG00000121164	4	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000121165	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
ENSMUSG00000121166	93.989	66.511	63.505	74.795	96.281	42.647	36.348	83.755	55.883	61.078	69.118	64.417	41.909	64.092	50.182	102.529	47.495	24.118	54.422
ENSMUSG00000121167	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000121168	19	0	19	15	1	7	2	15	5	5	8	4	14	15	0	10	11	23	7
ENSMUSG00000121169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121170	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000121171	0	1.05	13.591	24.496	21.928	0	0	0	2.411	0	0	0	14.035	6.732	1.19	14	6.816	0	0
ENSMUSG00000121172	2	0	0	13	4	1	0	0	9	5	0	0	0	1	0	1	0	0	0
ENSMUSG00000121173	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0
ENSMUSG00000121174	0	2	2	0	0	1	0	1	0	0	1	1	2	0	0	1	1	1	1
ENSMUSG00000121175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121176	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	2	0	4	0
ENSMUSG00000121177	2	0	1	1	0	4	0	3	10	3	2	1	14	1	1	1	3	7	6
ENSMUSG00000121178	13	3	25	13	4	3	1	8	4	6	7	7	15	7	9	5	6	16	12
ENSMUSG00000121179	248	911	986.882	599.699	573	738.969	270	1104	231	618	863	918	189	372	419	810	569	43	327
ENSMUSG00000121180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121182	0	1	1	2	0	4	0	8	2	1	5	5	0	1	1	5	1	0	2
ENSMUSG00000121183	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	8
ENSMUSG00000121184	106	471	600	218	207	380	232	506	248	457	384.336	455	369	101	438	451.357	246	327	347
ENSMUSG00000121185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000121188	0	0	0	17	0	0	10	1	1	0	1	1	3	0	0	0	3	0	0
ENSMUSG00000121189	11.182	27	17	23	12	28	3	27	7	15	29	9	12	14	26	10	10	9	13
ENSMUSG00000121190	4	1	0	3	5	0	0	1	0	2.275	1	0	4.018	0	0	1	0	1.009	5
ENSMUSG00000121191	21	2	1	20	11	1	0	0	0	0	0	0	4	13	1	12	1	0	0
ENSMUSG00000121192	13	1	4.604	3	11.42	0	7	9	3.792	9	9	2.129	0	8.237	1	0	3	4	4.452
ENSMUSG00000121193	0	2	3	2	1	7	5	14	5	8	8	10	3	1	2	15	3	10	6
ENSMUSG00000121194	1	11	1	1	0	1	2	3	1	1	1	3	1	1	2	5	4	6	0
ENSMUSG00000121195	4	14.275	22.053	17	15	10	6	25	8	18	19	13	14.471	10	3	13	9	8.527	0
ENSMUSG00000121196	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0
ENSMUSG00000121197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121198	0	0	1.438	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121199	35	67	55	41	52	55	17	58	17	44	54	44	27	32	46	47	29	38	38
ENSMUSG00000121200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121201	58	19	32	42	91	17	22	25	6	28	25	25	14	56	18	30	19	14	5
ENSMUSG00000121202	0	0	0	0	0	0	0	1	0	3	1	1	2	4	0	1	0	0	0
ENSMUSG00000121203	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121204	23	2	7	12	33	4	4	10	3	11	11	13	4	23	14	9	2	3	5
ENSMUSG00000121205	5	9	15	7	5	7	4	9	5	8	5	5	4	5	11	10	4	5	11
ENSMUSG00000121206	31	5	16	26	34	3	3	6	10	7	10	8	2	10	4	5	0	0	6
ENSMUSG00000121207	10	49	35	44	5	36	9	27	3	30	23	13	14	5	24	32	10	11	16
ENSMUSG00000121208	0	23	24	2	3	26	3	30	32	7	34	25	34	3	11	36	9	25	27
ENSMUSG00000121209	7	3	1	2	10	0	1	0	0	1	2	2	0	9	5	3	1	0	0
ENSMUSG00000121210	0	0	3	2	1	0	1	1	7	1	0	1	13	1	0	0	1	5	2
ENSMUSG00000121211	12	16	6	9	14	12	11	4	25	5	3	4	146	4	11	7	6	80	34
ENSMUSG00000121212	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000121213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121215	4	6	10	7	6	7	2	15	5	12	8	7	55	7	1	6	5	46	6
ENSMUSG00000121216	0	0	0	1	1	1	0	1	0	1	1	2	0	0	0	6	0	0	3
ENSMUSG00000121217	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	1	0
ENSMUSG00000121218	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	8	0
ENSMUSG00000121219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121220	4	1	0	0	1	0	0	1	0	1	0	0	0	6	0	0	0	0	0
ENSMUSG00000121221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121222	0	0	0	0	4	2	0	2	0	1	1	1	0	0	0	0	0	0	0
ENSMUSG00000121223	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000121224	2	0	0	10	4	4	2	2	0	6	5	7	2	1	1	1	0	1	7
ENSMUSG00000121225	88.482	101.461	110.413	116.772	110.515	63.308	13.562	80.3	32.891	72	73.621	66.309	65.355	129.02	48.966	56.547	39.857	77.799	42.872
ENSMUSG00000121226	18	8	27	20	22	13	12	5	8	17	2	29	10	29	3	16	8	0	7
ENSMUSG00000121227	0	0	0	0	0	4	0	0	0	3	0	1	1	1	0	0	2	1	0
ENSMUSG00000121228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121229	0	0	1.007	0	0	2	0	2	0	1	4	0	9	0	0	7	1	4	0
ENSMUSG00000121230	1	2	11	0	2	2	1.233	0	1	0	1	8	0	3	0	2	1	3	0
ENSMUSG00000121231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121232	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ENSMUSG00000121233	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000121234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121235	0	8	1.014	4.71	3.819	0	0	1.315	0	0	0	1.552	2.335	1.651	0	2.83	0	0	2.577
ENSMUSG00000121236	32	4	18	10	25	15	3	25	8	18	14	18	16	13	10	19	9	24	19
ENSMUSG00000121237	0	0	0	2	0	2	0	0	15	8	0	1	256	0	0	0	0	185	16
ENSMUSG00000121238	4	0	2	4	5	4	0	5	5.041	3	7	5	9	2	5.1	3	6	7.174	9
ENSMUSG00000121239	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121240	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000121241	0	1	4	3	1	3	0	2	2	1.935	4.519	3.416	2.643	0	6.859	7.882	5.737	4.933	0
ENSMUSG00000121242	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000121243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121244	1	24	7	2	2	3	4	5	0	2	12	3	1	1	7	5	2	0	2
ENSMUSG00000121245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121246	18	8	10	21	15.107	18	3	10	5	13	6	8	2	15	5	11	3	6	13
ENSMUSG00000121247	6	8	13	9	16	14	4	14	4	15	9	7	18	10	4	8	4	11	15
ENSMUSG00000121248	0	0	3	0	0	0	0	1	0	1	0	0	3	6	0	0	1	5	0
ENSMUSG00000121249	0	2	14	1	1	19	6	12	13	15	9	15	5	0	5	25	13	5	1
ENSMUSG00000121250	32	64	128	69	81	105	27	113	46	106	141	108	44	12	47	114	55	23	36
ENSMUSG00000121251	5	5	2	9	8	3	4	14	19	10	5	5	93	2	2	4	2	59	25
ENSMUSG00000121252	0	0	0	4	2	0	0	3	4	1	0	2	30	7	2	1	2	20	1
ENSMUSG00000121253	0	0	0	0	8	0	0	0	6	3	0	0	58	0	0	0	0	52	9
ENSMUSG00000121254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121255	2	1	0	0	0	3	0	1	0	6	0	1	8	0	4	1	1	2	2
ENSMUSG00000121256	1	0	2	14.784	0	0	1	3	0	3	0	6	12.133	3	0	0	1	8.882	4.604
ENSMUSG00000121257	1	10	1	4	0	0	1	4	0	1	2	4	0	3	4	4	4	1	0
ENSMUSG00000121258	1.774	3	1.791	0	2	0	0	4.128	0	0	0	0	1.728	0	0	2	3	13	0
ENSMUSG00000121259	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000121260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121261	0	0	2	0	0	1	0	1	0	0	0	0	1	0	1	3	1	0	0
ENSMUSG00000121262	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000121263	25	19	12	25	25	8	6	13	13	14	14	15	16	38	8	8	4	7	10
ENSMUSG00000121264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121266	0	0	0	0	2	2	0	2	5	2	0	0	2	0	0	0	0	0	2
ENSMUSG00000121267	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0
ENSMUSG00000121268	0	0	0	0	0	0	1	3	0	2	2	3	0	0	5	1	2	0	2
ENSMUSG00000121269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121270	0	13.633	8	0	0	3	0	9.616	31	15	5	1	55	4	3	10	7	45.559	24
ENSMUSG00000121271	0	0	0	3	0	0	1	0	0	0	0	0	1	5	0	0	0	0	3
ENSMUSG00000121272	17.145	12	6.048	38	21	18.119	6	8.01	10	9	9	15	17	46.065	0	19.025	6	6	9
ENSMUSG00000121273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121274	0	0	0	0	1.49	0	0	1	0	0	2	1	1.015	0	0	0	1	0	0
ENSMUSG00000121275	0	3	4	0	5	1	0	2	2	3	4	2	8.903	3	1	1	0	1	1
ENSMUSG00000121276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121277	15	25	43.139	57	56	44	10	66	13	35	55	37	12	61	33	34	21	7	29
ENSMUSG00000121278	0	1	2	1	2	2	0	0	0	1	0	0	2	1	0	0	0	1	0
ENSMUSG00000121279	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000121280	113.051	124.824	120.451	216	190.13	152.948	49.201	151.614	90.372	135.967	189.831	165.766	335.472	147.153	65.588	101.125	97	258.957	244.469
ENSMUSG00000121281	0	0	1	0.752	1.826	0	0	0	1	0	2.829	0	0	0	4.358	0	0	0	0
ENSMUSG00000121282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121283	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000121284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121286	0	0	0	0	0	1	0	1.402	1	2	2	2	3.789	0	0	0	0	2.224	0
ENSMUSG00000121287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121293	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000121294	0	0	3	0	1	1	0	4	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000121295	0	0	0	0	0	0	0.997	0	0	0	0	1.001	0	0	0	0	0	0	0
ENSMUSG00000121296	0	0	0	0	0	0	0	0	0	0	9.963	0	0	0	0	0	0	0	0
ENSMUSG00000121297	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121300	0	0	0	0	0	0	2	3	5	1	1	0	8	1	0	1	2	18	3
ENSMUSG00000121301	2.345	0	3.411	4.796	6	2	0	5.432	11	10.079	6.979	7.61	3.246	4	6	15	1	1.483	6.7
ENSMUSG00000121302	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
ENSMUSG00000121303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121304	12.275	25.132	38.745	17.238	18.803	29.622	12.8	30.577	12.69	28.945	27.288	30.828	29.827	25.855	19.049	24.688	21.163	13.331	21.828
ENSMUSG00000121305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121308	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
ENSMUSG00000121309	12	29.288	22.691	17	17.122	31.086	12.57	42.972	22	40.226	55.105	51.162	9	21.772	7.689	28.885	29.625	1.126	17.45
ENSMUSG00000121310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121311	0	0	0	0	0	0	3	0	0	0	1	0	1	1	0	0	0	3	5
ENSMUSG00000121312	0	1.4	0	0	0	0	0	0	1.5	1	1.139	0	0	4	3	3.205	0	1	2.267
ENSMUSG00000121313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121314	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121315	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0
