	IVMTrt_A_1	IVMTrt_A_2	IVMTrt_A_3	IVMTrt_N_1	IVMTrt_N_2	IVMTrt_N_3	IVMctrl_N_1	IVMctrl_N_2	IVMctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000110550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110551	3	0	0	2	1	2	3	5	4	1	2	3	0	0	3
ENSMUSG00000110552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110554	11	8	2	23.995	14	20.026	38.872	12	20	4	15	16	4	11	25
ENSMUSG00000110555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000110556	71	67	27	35.626	50	45	51	59	61	46	11	61	35	67	76
ENSMUSG00000110557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110558	145	168	71	113	215	87	114.326	151	80	97	38	114	75	75	105
ENSMUSG00000110559	33	13	17	6	21	18	12	6	14	143.56	11	21	4	4	13
ENSMUSG00000110560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110563	0	1	0	1	10	0	2	4	0	0	0	0	0	7	2
ENSMUSG00000110564	1	2	1	4	0	3	8	6	5	15	1	4	7	0	5
ENSMUSG00000110565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110569	0	0	0	0	26.158	1	1	0	1.042	1	0	0	1	0	0
ENSMUSG00000110570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110574	6.648	4.456	0.549	3.312	16.076	0	0	3.145	3.426	4.149	9.113	5.822	1.171	0	0
ENSMUSG00000110575	29	4	0	2	32	33	10	11	2	10.225	6	5	3	36	34
ENSMUSG00000110576	1	11	0	6	5	2	4	3	1	0	3	1	0	2	6
ENSMUSG00000110577	1	1	0	0	8	2	1	0	0	0	0	0	0	0	1
ENSMUSG00000110578	5	0	0	2	3	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110580	98.301	126	93	77.363	121.977	30.268	108.934	86	60.715	68	40	98.25	53.868	57.862	71.931
ENSMUSG00000110581	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000110582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110585	3	0	0	3	0	0	3	5	0	1	1	2	0	1	3
ENSMUSG00000110586	4	0	2	4	26	0	6	20	6	0	3	6	2	27	6
ENSMUSG00000110587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110588	9	1.007	0	1	163.84	101.137	0	99.081	0	7	7	1	0	72	23
ENSMUSG00000110589	0	10.544	11.902	3.504	0	8.665	6.839	10.863	3.288	6.007	5.775	5.256	2.222	3.466	3.882
ENSMUSG00000110590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110591	1.275	6.858	0	1.382	6.797	14.403	8.04	12.811	2.765	0	1.336	4.513	1.356	9.561	3.522
ENSMUSG00000110592	70	17	7	34	57.234	17	58	21	63	4	40	53	25	15	46
ENSMUSG00000110593	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0
ENSMUSG00000110594	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000110595	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000110596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000110597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110598	215	137	116	168	324.987	163	280	234	234	375	147	263	156	233	210
ENSMUSG00000110599	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000110600	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0
ENSMUSG00000110601	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000110602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110603	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000110604	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000110605	115	100	65	109	139	76	149	100	111.993	101	85.354	107	55	29	78
ENSMUSG00000110606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110607	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110608	0	0	0	3	0	0	6	1	1	0	1	2	0	2	1
ENSMUSG00000110609	0	0	0	0	3	0	0	1	0	0	0	0	0	2	1
ENSMUSG00000110610	2	3	0	2	29	5	0	4	4	0	1	1	0	5	4
ENSMUSG00000110611	3	0	0	1	7	11	3	0	2	0	0	4.919	0	0	0
ENSMUSG00000110612	1	0	0	2	0	0	2	2	0	0	2	1	2	0	2
ENSMUSG00000110613	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000110614	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000110615	5.101	15	0	1	6	0	0	0	2	3	1	2	1	3	1
ENSMUSG00000110616	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110618	1	10	0	12	22	3	5	16	6	1	1	3	7	6	7
ENSMUSG00000110619	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000110620	7.232	8.523	0	4.851	1.876	2.777	4.319	1.256	1.668	4.453	0	7.948	0	0	6.25
ENSMUSG00000110621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110622	14	26	0	4	96	135	7	35	2	10	3	12	4	56.001	6
ENSMUSG00000110623	5	0	0	0	3	0	0	0	0	7	0	2	0	1	1
ENSMUSG00000110624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110626	0	0	0	0	2	0	0	4	0	0	2	0	0	18	12
ENSMUSG00000110627	3	21	2	9	15	4	9	20	5	10	11	19	6	34	17
ENSMUSG00000110628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110629	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000110630	7.126	0	11.07	0	1.007	1	0	5.024	3	1.008	1.005	2	2.01	1	2.003
ENSMUSG00000110631	1253.958	464.239	217.807	274.745	2079.306	1080.861	265.694	1972.03	194.568	298.08	433.063	336.987	184.404	4411.775	1399.502
ENSMUSG00000110632	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000110633	5	1	0	0	6	4	0	3	0	8	0	0	0	3	1
ENSMUSG00000110634	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0
ENSMUSG00000110635	70	73	19	75	146	44	120	133	65	77	70	80	50	117	82
ENSMUSG00000110636	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0
ENSMUSG00000110637	15.278	0	0.549	18.184	17.255	2.335	16.792	16.392	29.93	10.298	9.113	9.748	6.187	18.289	22.009
ENSMUSG00000110638	17	3	6	28	7	12	18	12	10	3	20	29	8	0	3
ENSMUSG00000110639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110640	0	0	0	0	8	0	0	0	0	0	0	0	0	2	1
ENSMUSG00000110641	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000110642	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000110643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110644	2.209	0	0	3.495	0	0	0	0	0	0	0	1.143	0	0	1.055
ENSMUSG00000110645	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110647	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000110648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110649	2.019	4	0	5	3	6	8	8	5	15	1	2	5	4	1
ENSMUSG00000110650	0	0	0	0	0	0	1	1	0	3	0	2	1	0	0
ENSMUSG00000110651	0	1	0	2	9	15	1	2	0	0	0	1	1	8	2
ENSMUSG00000110652	13	3	0	7	26	17	4	4	1	7	4	2	3	3	2
ENSMUSG00000110653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110654	0	2	0	0	5	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000110655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110656	1	0	3.3	2.438	8	0	2	1	0	0	0	0	0	0	0
ENSMUSG00000110657	3	0	0	4	6	0	3	5	3	0	1	3	0	9	5
ENSMUSG00000110658	1	0	0	1	2	0	1	0	1	1	0	2	0	1	0
ENSMUSG00000110659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110660	1	7	0	6	3	7	3	7	4	1	7	9	5	3	6
ENSMUSG00000110661	0	0	17	2	8	15	8	5	1	9	0	4	1	3	1
ENSMUSG00000110662	5	7	0	1	5	0	2	6	3	2	1	3	1	1	1
ENSMUSG00000110663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110664	1	0	0	0	7	3	0	1	1	0	1	0	0	5	1
ENSMUSG00000110665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110667	0	4	0	2	2	0	2	1	0	2	0	2	0	0	2
ENSMUSG00000110668	0	0	0	3	1	0	1	1	0	0	0	0	0	0	3
ENSMUSG00000110669	0	0	0	0	0	1	0	1	0	1	0	1	0	3	0
ENSMUSG00000110670	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000110671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110672	46	7	0	10	2	0	14	4	14	95	14	25	5	6	8
ENSMUSG00000110673	0	3	0	1	3	6	1	1	0	0	2	1	0	1	1
ENSMUSG00000110674	0	6.627	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110675	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
ENSMUSG00000110676	4	8	0	1	13	10	4	2	3	3	0	1	0	14	21
ENSMUSG00000110677	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000110678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110679	2.614	0	1.602	0	13.969	2.571	0	0	0	0	9.871	3.739	0	0	1.998
ENSMUSG00000110680	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
ENSMUSG00000110681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110682	7	0	2	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000110683	3	5	18	5	10	4	6	21	7	2	2	3	1	4	15
ENSMUSG00000110684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110685	2	5	1	3	3.3	0	1.128	5	1	2	0	3	1	3	1
ENSMUSG00000110686	0	0	0	1.108	1.016	0	2.144	1.371	2.292	1.055	3.02	0	0	2.135	4.438
ENSMUSG00000110687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110688	3	1	0	3	1	0	7	2	2	3	2	8	1	0	2
ENSMUSG00000110689	62	16	0	39	83	24	51	32	41	45.159	22	55	36	55	70
ENSMUSG00000110690	3	0	2	1	2	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000110691	0	0	0	0	0	0	5	0	3	0	0	1	0	2	0
ENSMUSG00000110692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110693	2231.512	2376.219	1722.956	1520.586	2632.91	1381.582	2089.92	1871.933	1805.07	1516.532	1582.348	2242.182	1085.825	1625.384	1707.41
ENSMUSG00000110694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110696	0	20	0	0	0	0	0	28	0	0	3	0	4	0	0
ENSMUSG00000110697	5	0	5	2	41	24	1	34	0	0	3	1	0	59.111	27
ENSMUSG00000110698	0	0	8	1.005	4	2.045	4	0	5	2.009	4.183	3.037	4	7.299	6
ENSMUSG00000110699	9.577	19.589	0	6.438	62.566	10.079	0	23.264	10.718	0	14.311	10.861	9.481	41.714	9.491
ENSMUSG00000110700	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000110701	3	1	3	4	0	1	1	0	2	0	0	0	0	0	0
ENSMUSG00000110702	156.048	24.915	39.403	6.202	110.365	73.527	11.619	66.088	6	238.036	25.376	45.456	3.201	90.897	33.305
ENSMUSG00000110703	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000110704	0	0	0	0	0	0	5.618	0	0	0	0	0	0	0	0
ENSMUSG00000110705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110706	2.05	0	1	1	6	1	3.201	5	0	0	0	1	0	5	3
ENSMUSG00000110707	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000110708	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000110709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110710	405	921	576	622.576	1458	442	817.149	1219.967	599	62	500	929	489.427	1188	1048.78
ENSMUSG00000110711	9.149	12	5	15	3	12	18.327	23.037	11	13.014	3.025	19	2	15	14
ENSMUSG00000110712	0	0	1	1	0	6	0	2	1	0	0	0	2	0	0
ENSMUSG00000110713	5	2	0	1	4	1	6	2	5	21	2	8	2	0	3
ENSMUSG00000110714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110716	0	2	16.255	1	1	0	0	0	2	0	1	0	2	0	0
ENSMUSG00000110717	1	0	0	0	0	0	0	1	1	0	0	3	0	0	1
ENSMUSG00000110718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110719	0	0	0	0	25	5	0	1	0	0	0	0	0	12	1
ENSMUSG00000110720	46.195	101.111	9.418	6.231	22.726	0	29.249	26.939	17.889	37.886	5.162	55.178	18.681	47.26	32.647
ENSMUSG00000110721	2	4	0	1	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000110722	9	21	18	17	10	2	25	19	23	11	4	16	15	5	13
ENSMUSG00000110723	26.055	42.497	8.357	16.036	23.614	33.462	20.307	17.878	26.496	25.246	0	13.902	15.872	11.688	6.945
ENSMUSG00000110724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110727	13	12	6	19	8	14	18	33	14	5	8	7	11	46	20
ENSMUSG00000110729	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000110730	0	0	0	0	6	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000110731	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000110732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110735	42.965	6.924	34.77	0	30.202	19.238	1.2	9.988	3	25.078	7.022	19.05	6.501	33.851	13.349
ENSMUSG00000110736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110737	13	107	53	78	54	37	114	73	114	35	40	154	55	14	55
ENSMUSG00000110738	25	27	0	15	7	4	21	11	11	11	9	5	5	7	20
ENSMUSG00000110739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110740	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110741	12	11	28	13	14	9	19	19	14	3	3	29	8.43	5	15
ENSMUSG00000110744	41	33	10.185	28.336	17.249	24.931	24.947	35.004	14.001	4.075	9	22.586	15.328	14	19.643
ENSMUSG00000110745	0	0	6	0	2	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110747	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000110748	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000110749	3	3	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000110750	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110751	50	31	16	12	40	30	11	16	11	24	23	16	8	14	13
ENSMUSG00000110752	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0
ENSMUSG00000110753	5	0	0	2	0	0	0	0	0	8	4	3	0	0	0
ENSMUSG00000110754	15	13	1	22	41	17	21	12	38	55.846	24	18	14	17	21
ENSMUSG00000110755	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3
ENSMUSG00000110756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110757	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000110758	12	23	4	3	5	55	16	7	10	13	36	24	7	5	13
ENSMUSG00000110759	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110760	0	3	13	3	5	0	0	0	2	0	0	0	4	0	0
ENSMUSG00000110761	0	0	6	0	29	4	0	5	1	0	0	0	0	30	24
ENSMUSG00000110762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110765	0	0	0	0	0	0	5	0	3	1	0	0	0	0	0
ENSMUSG00000110766	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110772	35	43	88	38.125	31	15	34	23	18.547	15	24	52	27	19	29
ENSMUSG00000110773	22.389	15.189	30	13.143	33.458	36.257	8.027	43.406	12.151	4.036	5.094	14.299	6.095	32.151	10.023
ENSMUSG00000110774	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110776	5	24	0	0	9	10	3	14	4	1	0	0	0	22	5
ENSMUSG00000110778	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000110779	4449.925	4902.213	3137.866	3675.131	4727.956	2523.141	5292.85	3901.288	4384.834	4217.45	3468.838	5437.31	2674.623	3679.49	4046.674
ENSMUSG00000110780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110781	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110784	0	0	0	9	0	0	2	1	2	0	1	1	1	0	0
ENSMUSG00000110786	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000110787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110790	8.236	11	4.431	3	13.59	4.173	6.227	6.145	6	2.101	3.77	12.933	9	4.416	1.027
ENSMUSG00000110791	53.833	28.872	43.052	32.616	153.628	42.358	51.022	87.707	42.317	38.119	54.656	61.221	29.899	147.735	85.941
ENSMUSG00000110792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110795	23.688	19.222	0	25.746	27.194	25.707	34.692	17	20.44	5	6.744	18.367	7.385	20.727	23.496
ENSMUSG00000110799	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110801	3	0	0	0	2	4	1	1	1	4	4	3	0	2	0
ENSMUSG00000110802	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
ENSMUSG00000110803	28.732	58.595	38	33.092	33.451	33.316	59.508	34.47	34.979	9.125	35.509	33.348	23.694	12.444	17.121
ENSMUSG00000110804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110808	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110811	0	0	0	0	4	0	0	2	1	0	0	0	0	10	5
ENSMUSG00000110812	36.928	32.293	18.99	51.417	28.936	58.057	35.237	57.082	31.758	19.942	22.14	27.987	23.054	23.023	34.138
ENSMUSG00000110813	0	2	0	0	2	0	2	1	2	0	0	1	2	5	2
ENSMUSG00000110814	4	11	14	17	3	14	10	6	8	0	6	20	6	7	4
ENSMUSG00000110815	11	2	0	3	118	104	0	28	1	31	5	3	0	36	39
ENSMUSG00000110816	24	9	47	17	46	46	17	23	10	15	35	10	3	28	23
ENSMUSG00000110817	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000110819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110823	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000110824	6	9	9	11	6	30.008	18	9	16	5	9	11	11	13	18
ENSMUSG00000110825	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
ENSMUSG00000110826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110827	9	7	32	8	12	10	16	9	16	0	8	13	9	6	6
ENSMUSG00000110828	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110829	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000110830	78	85	77	54	102	31	78	72	52	81	49	102.383	34	42	45
ENSMUSG00000110831	1.486	0	0	0	10.861	0	1.395	5.825	0	0	0	0	0	1.154	1.326
ENSMUSG00000110832	2	4	7	2	3	2	8	9	6	0	8	6	0	7	5
ENSMUSG00000110833	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000110834	38	14	9	46	81	19	34	32	34	49	17	21	17	23	31
ENSMUSG00000110835	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110836	0	0	0	0	3	1	0	1	0	0	0	0	0	4	1
ENSMUSG00000110837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110840	21	19	22.097	15	11	38.449	7	26	15	17	0	4	12	12	15
ENSMUSG00000110841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110843	2	0	0	0	0	0	0	0	0	11	2	1	0	0	0
ENSMUSG00000110844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110845	21	35	0.903	26	22	6.551	33	15	19	23	22	24	11	35	24
ENSMUSG00000110846	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000110847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110851	1	0	0	0	3	0	0	2	0	0	2	0	0	4	0
ENSMUSG00000110853	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
ENSMUSG00000110854	0	0	0	0	0	0	0	0	0	0	0	0.865	0	0	0
ENSMUSG00000110855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110857	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000110858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110862	14	70	34	63	31	60	53	66	37	13	37	33	31	100	72
ENSMUSG00000110863	12	62	4	11	10	0	13	11	13	6	28	21	17	6	8
ENSMUSG00000110864	1	0	1	0	10	10	1	5	0	0	0	2	0	2	0
ENSMUSG00000110865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110866	52.805	111.685	130.758	96.66	335.95	209.385	104.854	181.001	69.025	47.45	91.305	106.488	38.663	119.144	104.243
ENSMUSG00000110867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110869	33	23	16	19	36.208	7	24	29	35	20.264	14	22	19	14	20
ENSMUSG00000110870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110874	0	0	0	0	0	0	0	3	0	0	0	4	1	4	0
ENSMUSG00000110875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110876	0	0	0	1	0	0	0	0	4	0	0	1	1	5	2
ENSMUSG00000110877	1	3	33	7	15	22	14	9	10	17	19	13	12	17	19
ENSMUSG00000110878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110880	18.184	23.362	68.871	18.893	63.434	31.657	8.706	51.126	0	6.816	5.557	14.4	7.607	1.841	17.091
ENSMUSG00000110881	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110884	3	0	0	0	0	0	0	0	1	0	1	1	0	1	0
ENSMUSG00000110885	11	5	0	3	18	0	10	7	10	14	3	5	4	1	7
ENSMUSG00000110886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000110887	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000110888	1	13	0	0	0	1	0	0	0	4	0	0	0	1	0
